PostcodeID;PostCodePK;PostCode;PostcodeNummers;PostcodeLetters;Straat;MinNummer;MaxNummer;Plaats;Gemeente;Provincie
5191;4861AL_2;4861AL;4861;AL;Beekstraat;2;30;Chaam;Alphen-Chaam;Noord-Brabant
5192;2563SG_131;2563SG;2563;SG;Laurierstraat;131;175;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
5193;2806KE_22;2806KE;2806;KE;Vrijheidslaan;22;54;Gouda;Gouda;Zuid-Holland
5194;3434DG_1;3434DG;3434;DG;Gravin Marialaan;1;3;Nieuwegein;Nieuwegein;Utrecht
5195;1013AN_2;1013AN;1013;AN;Danzigerbocht;2;8;Amsterdam;Amsterdam;Noord-Holland
5196;2225VE_110;2225VE;2225;VE;Wethouder Fierman Eduard Meerburg senior kade;110;200;Katwijk;Katwijk;Zuid-Holland
5197;3572KT_59;3572KT;3572;KT;Alexander Numankade;59;65;Utrecht;Utrecht;Utrecht
5198;7461EN_5;7461EN;7461;EN;Karel Doormanstraat;5;29;Rijssen;Rijssen-Holten;Overijssel
5199;5541TE_1;5541TE;5541;TE;Boegent;1;53;Reusel;Reusel-De Mierden;Noord-Brabant
5200;3123PD_1;3123PD;3123;PD;Kleermakerpad;1;14;Schiedam;Schiedam;Zuid-Holland
5201;8034PV_2;8034PV;8034;PV;Kloosterbrink;2;32;Zwolle;Zwolle;Overijssel
5202;6042LS_148;6042LS;6042;LS;Maalbroekerdijk;148;152;Roermond;Roermond;Limburg
5203;1033RE_1;1033RE;1033;RE;mt. Ondinaweg;1;17;Amsterdam;Amsterdam;Noord-Holland
5204;2012ZK_18;2012ZK;2012;ZK;Bakkerstraat;18;44;Haarlem;Haarlem;Noord-Holland
5205;2625SR_158;2625SR;2625;SR;H+ñndellaan;158;186;Delft;Delft;Zuid-Holland
5206;1354ER_152;1354ER;1354;ER;Middenhof;152;166;Almere;Almere;Flevoland
5207;1503JP_4;1503JP;1503;JP;Schokkerlaan;4;30;Zaandam;Zaanstad;Noord-Holland
5208;7411DB_2;7411DB;7411;DB;Bastion;2;38;Deventer;Deventer;Overijssel
5209;8191AZ_1;8191AZ;8191;AZ;Putterweg;1;17;Wapenveld;Heerde;Gelderland
5210;5751HD_91;5751HD;5751;HD;Stationsstraat;91;113;Deurne;Deurne;Noord-Brabant
5211;2991GH_2;2991GH;2991;GH;Mr. Thorbeckestraat;2;38;Barendrecht;Barendrecht;Zuid-Holland
5212;9726ED_18;9726ED;9726;ED;Witte de Withstraat;18;30;Groningen;Groningen;Groningen
5213;2402KA_1;2402KA;2402;KA;Walenburg;1;40;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
5214;3225PE_1;3225PE;3225;PE;Grondel;1;4;Hellevoetsluis;Hellevoetsluis;Zuid-Holland
5215;1671MX_1;1671MX;1671;MX;Vlietsingel;1;53;Medemblik;Medemblik;Noord-Holland
5216;9766VJ_2;9766VJ;9766;VJ;Warmoltseiland;2;30;Eelderwolde;Tynaarlo;Drenthe
5217;7542ML_23;7542ML;7542;ML;Venderinklanden;23;48;Enschede;Enschede;Overijssel
5218;5025XP_475;5025XP;5025;XP;Generaal Winkelmanstraat;475;791;Tilburg;Tilburg;Noord-Brabant
5219;5301TK_30;5301TK;5301;TK;Vergtweg;30;60;Zaltbommel;Zaltbommel;Gelderland
5220;2522KZ_2;2522KZ;2522;KZ;Suringarstraat;2;30;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
5221;5264PC_1;5264PC;5264;PC;Reutsedijk;1;44;Vught;Vught;Noord-Brabant
5222;3151XG_9;3151XG;3151;XG;Lemaireweg;9;9;Hoek van Holland;Rotterdam;Zuid-Holland
5223;5708VS_2;5708VS;5708;VS;Duvelkenshoeve;2;30;Helmond;Helmond;Noord-Brabant
